"1";"cs: čeština";"NFC: oborová literatura";"SCI: odborná literatura";"NAT: přírodní vědy";"MED: lékařství";", vyklenování řasy foramen ovale doleva , ? přítomnost septum";"primum blízko crux";"cordis , ? plicní žíly vstupující z obou stran do"
"1";"en: angličtina";"NFC: oborová literatura";"POP: populárně naučná literatura";"NAT: přírodní vědy";"BIO: biologie";"snad podobně jako Pchi dělala příležitostné výlety ze svého vzdáleného";"domova blízko Niou";"- tchou - šanu , nebo že jako nedospělý jedinec"
"1";"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"skeptické hlasy . </s><s> „ Konečně jsme podle lidí z Trumpovy";"vlády , blízko ‘";"uzavření dohody s Čínou . </s><s> Ale počkejte , neslyšeli jsme"
"1";"es: španělština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"navrhl vědci zajít na poslední rundu do jednoho pověstného irského";"baru blízko Murtenstrasse";", jen kousek od rozestavěné dostavby hlavního městského nádraží . </s>"
"1";"it: italština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"po něm nebylo ani vidu , ani slechu . </s><s> Vedle";"krbu , blízko stále";"plápolajícího ohně , stála žlutá , trochu vybledlá pyramida ,"
"1";"es: španělština";"FIC: beletrie";"COL: kratší próza";"X: neuvedeno";"X: neuvedeno";", jak to říkají . </s><s> Irmina rodina vlastnila malý kus";"půdy blízko Quilicury";". </s><s> Byli to prostí lidé , měli pár krav ,"
"1";"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"protože tam s námi pracovalo hodně Srbáků z vesnic kolem";"Dunaje blízko Gerníku";". </s><s> Našli jste svůj dům v pořádku ? </s><s> Byl prázdný"
"1";"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"ženě jménem Claudia . </s><s> Najdeš ji v krčmě U zlaté";"konvice blízko Flavijské";"brány ... "" </s><s> Kapitola 11 </s><s> "" Dux atque Imperator Vitae"
"2";"de: němčina";"NFC: oborová literatura";"POP: populárně naučná literatura";"HUM: humanitní vědy";"PHI: filozofie, náboženství";"<s> Bůh sám v tom smyslu , že je světu a";"člověku blízko ,";"že je dokonce v hloubi jeho duše jako moc ,"
"2";"cs: čeština";"NFC: oborová literatura";"MEM: memoáry, autobiografie";"MEM: memoáry, autobiografie";"MEM: memoáry, autobiografie";"může setkat s lidmi , kterým se věnuje , bude";"jim blízko .";"</s><s> K tomu je ale třeba kněze vychovávat a vést . </s>"
"2";"cs: čeština";"NFC: oborová literatura";"MEM: memoáry, autobiografie";"MEM: memoáry, autobiografie";"MEM: memoáry, autobiografie";". </s><s> Při těch setkáních jsme si uvědomovali , jak jsme";"si blízko ,";"ale zároveň i daleko . </s><s> Došlo nám to například ,"
"2";"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"HOU: bydlení, zahrada, hobby";"i sucho . </s><s> Přitom krásně kvetou i voní . “ </s><s>";"PŘÍRODĚ BLÍZKO";"</s><s> Rodinný domek starý přes sto let na kraji vesnice na"
"2";"bn: bengálština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"je prý velmi hodné děvče , už od dětství je";"jim blízko ,";"chová se k Šekharovi jako ke staršímu bratrovi , proto"
"2";"cs: čeština";"FIC: beletrie";"VER: poezie";"X: neuvedeno";"X: neuvedeno";"<s> S tou mísou </s><s> odešel někdo . </s><s> A i nezhoustlé </s><s> je";"si blízko ,";"jako na domě si jsou </s><s> dveře a vylomené zárubně . </s>"
"2";"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"letiště , pak vysadím Françoise u terminálu trajektů . </s><s> Jsou";"si blízko .";"“ </s><s> Kell předpokládal , že řeč je spíš o blízkosti"
"2";"cs: čeština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"studovat – historii . </s><s> Byla jsem zoufalá , jak jsme";"si blízko ,";"ale přesto se nedokážeme domluvit . </s><s> Zas mě ohromilo její"
"2";"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"zvíře . </s><s> V tu chvíli jsem cítil , že jsem";"jí blízko .";"</s><s> Otočila se , podívala se mi přímo do očí a"
"2";"cs: čeština";"NFC: oborová literatura";"POP: populárně naučná literatura";"HUM: humanitní vědy";"INF: knihovnictví, informatika";"politické a společenské vztahy . </s><s> Ale vnitřně byl Komenský biblickým";"prorokům blízko .";"</s><s> Jeho víra i celý životní postoj rostl z biblického poselství"
"2";"cs: čeština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";", že chtějí být neutrální . </s><s> Jako Švýcarsko . </s><s> Jsou";"jim blízko ,";"Švýcarům . </s><s> Oplotit zahrádky . </s><s> A pozorovat . </s><s> Ta čeština"
"2";"de: němčina";"NFC: oborová literatura";"POP: populárně naučná literatura";"HUM: humanitní vědy";"PHI: filozofie, náboženství";"<s> Metanoia znamená vždy počítat s tím , že Bůh je";"mi blízko ,";"že mě oslovuje , že o mě pečuje . </s><s> Ježíšův"
